Time(s), V(V),Encoder,ADC
2.71,9.4834,-1608,-24
2.715,9.3667,-1624,-24
2.72,9.2477,-1640,-24
2.725,9.1265,-1656,-24
2.73,9.003,-1672,-15
2.735,8.8772,-1688,-15
2.74,8.7493,-1704,-15
2.745,8.6192,-1720,-15
2.75,8.487,-1736,-15
2.755,8.3527,-1752,-15
2.76,8.2164,-1768,-15
2.765,8.078,-1784,-15
2.77,7.9376,-1799,-15
2.775,7.7953,-1815,-15
2.78,7.651,-1831,-24
2.785,7.5049,-1847,-24
2.79,7.3568,-1863,-24
2.795,7.207,-1879,-24
2.8,7.0554,-1895,-19
2.805,6.9021,-1911,-19
2.81,6.7471,-1926,-19
2.815,6.5904,-1942,-19
2.82,6.432,-1958,-15
2.825,6.2721,-1974,-15
2.83,6.1106,-1989,-15
2.835,5.9477,-2005,-15
2.84,5.7832,-2021,-15
2.845,5.6174,-2037,-15
2.85,5.4501,-2052,-15
2.855,5.2815,-2068,-24
2.86,5.1116,-2083,-24
2.865,4.9404,-2099,-24
2.87,4.7681,-2115,-28
2.875,4.5945,-2130,-28
2.88,4.4198,-2146,-28
2.885,4.244,-2161,-28
2.89,4.0672,-2177,-24
2.895,3.8894,-2192,-24
2.9,3.7106,-2207,-24
2.905,3.5309,-2223,-24
2.91,3.3503,-2238,-24
2.915,3.1689,-2253,-24
2.92,2.9867,-2269,-24
2.925,2.8038,-2284,-19
2.93,2.6202,-2299,-19
2.935,2.4359,-2314,-19
2.94,2.251,-2329,-24
2.945,2.0656,-2344,-24
2.95,1.8797,-2359,-24
2.955,1.6933,-2374,-24
2.96,1.5065,-2389,-15
2.965,1.3193,-2404,-15
2.97,1.1318,-2418,-15
2.975,0.94403,-2433,-24
2.98,0.75601,-2448,-24
2.985,0.5678,-2462,-24
2.99,0.37946,-2477,-24
2.995,0.19102,-2491,-7
3,0.0025403,-2506,-7
3.005,-0.18595,-2520,-7
3.01,-0.37439,-2534,-7
3.015,-0.56274,-2549,31
3.02,-0.75095,-2563,31
3.025,-0.93898,-2577,31
3.03,-1.1268,-2591,103
3.035,-1.3143,-2604,103
3.04,-1.5015,-2618,103
3.045,-1.6883,-2631,103
